VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS,porc_V,UBIGEO,distid,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
Primera,AMAZONAS,BAGUA,ARAMANGO,Selva,5572,8526,1755,FUERZA_POPULAR,673,17.63,10202,2,7777,605,0.3612,1070,73.24,1066,37.55,1588,4.95,1432,535.8,869
Primera,AMAZONAS,BAGUA,ARAMANGO,Selva,5572,8526,1755,PERU_LIBRE,1250,32.75,10202,2,7777,605,0.3612,1070,73.24,1066,37.55,1588,4.95,1432,535.8,869
Primera,AMAZONAS,BAGUA,ARAMANGO,Selva,5572,8526,1755,VOTOS_OTROS,1894,49.62,10202,2,7777,605,0.3612,1070,73.24,1066,37.55,1588,4.95,1432,535.8,869
Primera,AMAZONAS,BAGUA,BAGUA,Selva,13602,18722,3434,FUERZA_POPULAR,1658,16.31,10201,1,26947,209,0.5841,245,73.03,1097,70.8,360,8.79,313,1074,206
Primera,AMAZONAS,BAGUA,BAGUA,Selva,13602,18722,3434,PERU_LIBRE,2540,24.98,10201,1,26947,209,0.5841,245,73.03,1097,70.8,360,8.79,313,1074,206
Primera,AMAZONAS,BAGUA,BAGUA,Selva,13602,18722,3434,VOTOS_OTROS,5970,58.71,10201,1,26947,209,0.5841,245,73.03,1097,70.8,360,8.79,313,1074,206
Primera,AMAZONAS,BAGUA,COPALLIN,Selva,2873,4212,793,FUERZA_POPULAR,235,11.3,10203,3,4605,869,0.4672,597,74.22,908,52.57,1120,5.53,1212,859.4,404
Primera,AMAZONAS,BAGUA,COPALLIN,Selva,2873,4212,793,PERU_LIBRE,481,23.12,10203,3,4605,869,0.4672,597,74.22,908,52.57,1120,5.53,1212,859.4,404
Primera,AMAZONAS,BAGUA,COPALLIN,Selva,2873,4212,793,VOTOS_OTROS,1364,65.58,10203,3,4605,869,0.4672,597,74.22,908,52.57,1120,5.53,1212,859.4,404
Primera,AMAZONAS,BAGUA,EL PARCO,Selva,956,1303,212,FUERZA_POPULAR,71,9.54,10204,4,1380,1468,0.489,521,74.33,882,70.22,382,6.04,1027,801.1,471
Primera,AMAZONAS,BAGUA,EL PARCO,Selva,956,1303,212,PERU_LIBRE,214,28.76,10204,4,1380,1468,0.489,521,74.33,882,70.22,382,6.04,1027,801.1,471
Primera,AMAZONAS,BAGUA,EL PARCO,Selva,956,1303,212,VOTOS_OTROS,459,61.69,10204,4,1380,1468,0.489,521,74.33,882,70.22,382,6.04,1027,801.1,471
Primera,AMAZONAS,BAGUA,IMAZA,Selva,10930,21905,3450,FUERZA_POPULAR,338,4.52,10205,5,23142,249,0.2981,1438,73.07,1086,31.3,1742,5.81,1103,309.1,1403
Primera,AMAZONAS,BAGUA,IMAZA,Selva,10930,21905,3450,PERU_LIBRE,2365,31.62,10205,5,23142,249,0.2981,1438,73.07,1086,31.3,1742,5.81,1103,309.1,1403
Primera,AMAZONAS,BAGUA,IMAZA,Selva,10930,21905,3450,VOTOS_OTROS,4777,63.86,10205,5,23142,249,0.2981,1438,73.07,1086,31.3,1742,5.81,1103,309.1,1403
Primera,AMAZONAS,BAGUA,LA PECA,Selva,4605,7442,1416,FUERZA_POPULAR,518,16.24,10206,6,6330,711,0.4906,518,71.51,1310,48.51,1277,6.61,840,960.9,298
Primera,AMAZONAS,BAGUA,LA PECA,Selva,4605,7442,1416,PERU_LIBRE,700,21.95,10206,6,6330,711,0.4906,518,71.51,1310,48.51,1277,6.61,840,960.9,298
Primera,AMAZONAS,BAGUA,LA PECA,Selva,4605,7442,1416,VOTOS_OTROS,1971,61.81,10206,6,6330,711,0.4906,518,71.51,1310,48.51,1277,6.61,840,960.9,298
Primera,AMAZONAS,BONGARA,CHISQUILLA,Selva,293,407,77,FUERZA_POPULAR,39,18.06,10302,2,283,1856,0.475,567,71.54,1304,77.52,134,5.45,1245,797.8,479
Primera,AMAZONAS,BONGARA,CHISQUILLA,Selva,293,407,77,PERU_LIBRE,44,20.37,10302,2,283,1856,0.475,567,71.54,1304,77.52,134,5.45,1245,797.8,479
Primera,AMAZONAS,BONGARA,CHISQUILLA,Selva,293,407,77,VOTOS_OTROS,133,61.57,10302,2,283,1856,0.475,567,71.54,1304,77.52,134,5.45,1245,797.8,479
