UBIGEO,distid,DEPARTAMENTO,PROVINCIA,Distrito,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
10101,1,AMAZONAS,CHACHAPOYAS,Chachapoyas ,33038,171,0.6424,125,72.19,1204,79.56,76,10.02,136,1259.1,99
10102,2,AMAZONAS,CHACHAPOYAS,Asuncion    ,267,1861,0.423,765,71.36,1332,71.01,353,6.01,1036,561.1,820
10103,3,AMAZONAS,CHACHAPOYAS,Balsas   ,1467,1443,0.3153,1355,68.59,1585,32.77,1712,5.19,1344,415,1133
10104,4,AMAZONAS,CHACHAPOYAS,Cheto  ,585,1749,0.3457,1159,77.53,463,52.21,1141,4.58,1573,398.7,1173
10105,5,AMAZONAS,CHACHAPOYAS,Chiliquin ,391,1829,0.275,1563,72.46,1173,36.87,1599,3.71,1781,325.9,1357
10106,6,AMAZONAS,CHACHAPOYAS,Chuquibamba  ,1789,1365,0.2693,1593,67.01,1682,30.43,1751,5.88,1080,267.4,1510
10107,7,AMAZONAS,CHACHAPOYAS,Granada    ,337,1844,0.358,1091,66.18,1720,25.71,1814,4.6,1565,766.8,517
10108,8,AMAZONAS,CHACHAPOYAS,Huancas  ,1457,1448,0.4148,806,73.06,1087,65.36,595,6.15,986,525.8,886
10109,9,AMAZONAS,CHACHAPOYAS,La Jalca ,4279,899,0.2952,1459,73.09,1082,42.66,1461,4.64,1552,305.7,1408
10110,10,AMAZONAS,CHACHAPOYAS,Leimebamba ,3855,963,0.399,881,70.3,1432,39.99,1524,6.32,928,615.9,734
10111,11,AMAZONAS,CHACHAPOYAS,Levanto ,671,1715,0.3243,1299,76.45,583,39.63,1533,4.15,1696,418.1,1123
10112,12,AMAZONAS,CHACHAPOYAS,Magdalena  ,687,1706,0.4738,573,71.62,1296,53.26,1090,6.38,911,848.6,415
10113,13,AMAZONAS,CHACHAPOYAS,Mariscal Castilla ,1004,1602,0.4461,683,69.3,1529,50.26,1220,6.62,836,752.3,535
10114,14,AMAZONAS,CHACHAPOYAS,Molinopampa ,2443,1202,0.3809,957,70.28,1435,53.64,1070,5.32,1292,529.8,881
10115,15,AMAZONAS,CHACHAPOYAS,Montevideo  ,374,1832,0.4476,679,71.26,1344,42.6,1462,7.35,626,737.7,553
10116,16,AMAZONAS,CHACHAPOYAS,Olleros  ,352,1840,0.3647,1052,71.94,1241,53.26,1089,5.67,1162,435.9,1071
10117,17,AMAZONAS,CHACHAPOYAS,Quinjalca  ,640,1722,0.342,1180,73.32,1058,52.07,1149,3.73,1776,495,947
10118,18,AMAZONAS,CHACHAPOYAS,San Francisco De Daguas ,305,1853,0.4897,520,71.22,1349,55.57,1002,7.49,585,831.3,439
10119,19,AMAZONAS,CHACHAPOYAS,San Isidro De Maino ,595,1744,0.3218,1315,69.8,1480,38.23,1574,4.74,1517,426.2,1103
10120,20,AMAZONAS,CHACHAPOYAS,Soloco  ,1076,1582,0.3446,1166,74.4,870,36.31,1611,4.74,1516,481.8,979
10121,21,AMAZONAS,CHACHAPOYAS,Sonche  ,196,1869,0.3721,1012,74.25,900,34.08,1678,4.51,1600,641.3,697
10201,1,AMAZONAS,BAGUA,Bagua,26947,209,0.5841,245,73.03,1097,70.8,360,8.79,313,1074,206
10202,2,AMAZONAS,BAGUA,Aramango  ,7777,605,0.3612,1070,73.24,1066,37.55,1588,4.95,1432,535.8,869
10203,3,AMAZONAS,BAGUA,Copallin  ,4605,869,0.4672,597,74.22,908,52.57,1120,5.53,1212,859.4,404
10204,4,AMAZONAS,BAGUA,El Parco ,1380,1468,0.489,521,74.33,882,70.22,382,6.04,1027,801.1,471
