VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS
Primera,AFRICA,ARGELIA,ARGEL,AFRICA,8,25,1,fuerza_popular,0
Primera,AFRICA,MARRUECOS,RABAT,AFRICA,9,55,2,fuerza_popular,0
Primera,AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,AFRICA,0,45,0,fuerza_popular,0
Primera,AFRICA,SUDAFRICA,JOHANNESBURGO,AFRICA,26,109,26,fuerza_popular,0
Primera,AFRICA,SUDAFRICA,PRETORIA,AFRICA,6,106,2,fuerza_popular,0
Primera,AMAZONAS,BAGUA,ARAMANGO,Selva,5572,8526,1755,fuerza_popular,673
Primera,AMAZONAS,BAGUA,BAGUA,Selva,13602,18722,3434,fuerza_popular,1658
Primera,AMAZONAS,BAGUA,COPALLIN,Selva,2873,4212,793,fuerza_popular,235
Primera,AMAZONAS,BAGUA,EL PARCO,Selva,956,1303,212,fuerza_popular,71
Primera,AMAZONAS,BAGUA,IMAZA,Selva,10930,21905,3450,fuerza_popular,338
Primera,AMAZONAS,BAGUA,LA PECA,Selva,4605,7442,1416,fuerza_popular,518
Primera,AMAZONAS,BONGARA,CHISQUILLA,Selva,293,407,77,fuerza_popular,39
Primera,AMAZONAS,BONGARA,CHURUJA,Selva,236,355,63,fuerza_popular,36
Primera,AMAZONAS,BONGARA,COROSHA,Selva,498,675,147,fuerza_popular,34
Primera,AMAZONAS,BONGARA,CUISPES,Selva,422,622,147,fuerza_popular,19
Primera,AMAZONAS,BONGARA,FLORIDA,Selva,2823,4510,795,fuerza_popular,392
Primera,AMAZONAS,BONGARA,JAZAN,Selva,3845,5987,945,fuerza_popular,629
Primera,AMAZONAS,BONGARA,JUMBILLA,Selva,516,863,148,fuerza_popular,47
Primera,AMAZONAS,BONGARA,RECTA,Selva,184,288,34,fuerza_popular,20
Primera,AMAZONAS,BONGARA,SAN CARLOS,Selva,321,442,86,fuerza_popular,27
Primera,AMAZONAS,BONGARA,SHIPASBAMBA,Selva,905,1378,327,fuerza_popular,74
Primera,AMAZONAS,BONGARA,VALERA,Selva,605,872,158,fuerza_popular,119
Primera,AMAZONAS,BONGARA,YAMBRASBAMBA,Selva,2658,4518,744,fuerza_popular,307
Primera,AMAZONAS,CHACHAPOYAS,ASUNCION,Selva,114,285,24,fuerza_popular,6
Primera,AMAZONAS,CHACHAPOYAS,BALSAS,Selva,504,1012,148,fuerza_popular,49
Primera,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Selva,13619,20819,2671,fuerza_popular,1222
